4,2,14,15,12,5,1
3,3,21,14,4.5,3,1
3,2,17,18,12,5,1
2,3,17,14,4.25,3,1
3,2,17,15,4.25,4,1
3,3,20,12,4.5,6,1
3,2,18,12,4.5,4,1
3,2,15,15,12,5,1
1,3,13,12,12,6,1
3,3,21,12,4.5,6,1
2,2,13,18,12,2,1
2,3,18,10,12,3,1
1,3,21,15,4.5,3,0
1,3,15,20,12,3,0
2,3,17,14,4.25,3,1
3,2,18,15,4.5,2,1
2,3,14,14,4.25,9,1
2,3,23,11,4.25,3,1
2,3,23,11,4.25,3,1
2,3,14,20,4.25,3,1
3,1,23,13,4.25,3,1
3,2,13,21,4.5,2,1
2,2,16,10,4.25,2,1
1,2,23,14,4.25,2,1
2,3,16,20,4.25,3,1
0,3,13,20,4.5,3,1
1,3,23,9,12,3,0
0,4,15,22,4.25,5,0
2,2,20,7,4.25,2,1
2,1,10,19,12,1,1
1,1,18,16,4.5,1,0
0,3,18,14,4.5,4,1
2,3,16,12,4.5,10,1
3,2,22,13,12,2,1
1,2,14,13,12,2,1
2,3,16,11,4.5,3,1
0,3,16,19,4.5,3,0
2,3,19,15,12,3,1
2,3,19,16,4.5,5,1
1,3,21,9,12,6,0
1,3,16,24,4.5,3,0
2,2,9,16,12,2,1
2,3,24,6,12,3,1
0,3,9,21,12,3,0
1,3,19,21,4.5,3,0
2,3,21,18,12,3,1
3,2,21,7,12,2,1
2,2,22,19,4.5,2,1
2,2,9,19,12,2,1
0,3,21,18,12,3,0
2,2,24,7,12,2,1
2,3,16,14,12,5,1
3,3,15,16,4.5,7,1
1,3,23,11,12,4,0
3,2,18,15,4.5,2,1
2,3,17,14,12,5,1
3,2,16,15,4.5,2,1
2,2,15,10,12,9,0
2,2,24,15,12,2,1
2,3,13,12,12,12,1
2,3,13,21,4.5,8,1
3,1,29,9,12,3,1
2,2,11,27,4.5,2,1
1,2,12,27,12,2,1
2,1,10,11,4.5,2,0
1,3,12,26,4.5,3,1
1,2,11,11,12,2,1
3,3,29,10,12,3,1
0,3,10,10,4.5,3,1
0,4,13,25,12,4,1
2,2,17,11,12,2,0
3,3,25,14,12,3,1
0,4,17,25,12,4,1
2,3,21,6,12,3,1
0,3,10,18,4.5,3,1
1,1,18,16,4.5,1,0
1,3,16,15,12,3,1
2,3,16,14,12,3,1
2,3,15,15,12,4,1
2,3,20,14,4.5,3,1
3,2,15,15,12,4,1
2,3,15,14,12,3,1
2,3,17,14,4.25,6,1
2,3,14,14,4.25,3,1
3,2,17,15,4.25,4,1
1,3,20,14,4.5,3,1
3,2,17,15,4.25,2,1
3,2,18,15,4.5,2,1
2,3,17,14,12,5,1
3,2,19,13,4.25,3,1
3,2,15,15,12,4,1
3,2,14,13,4.25,5,1
4,3,15,14,12,9,1
1,1,15,13,12,1,0
1,2,13,13,12,2,1
3,2,23,13,12,2,1
2,3,24,12,12,8,0
2,3,16,21,12,3,1
3,2,11,22,12,5,1
